ISBN,Titulo,Autor,Editorial,A§o,GÇnero,Resumen
9.7885E+12,El ni§o con el pijama de rayas,John Boyne,PUBLICACIONES Y EDICIONES,2011,Literatura Universal,"ESTIMADO LECTOR, ESTIMADA LECTORA: AUNQUE EL USO HABITUAL DE UN TEXTO COMO êSTE ES DESCRIBIR LAS CARACTER÷STICAS DE LA OBRA, POR UNA VEZ NOS TOMAREMOS LA LIBERTAD DE HACER UNA EXCEPCI‡N A LA NORMA ESTABLECIDA. NO S‡LO PORQUE EL LIBRO QUE TIENES EN TUS MANOS ES MUY DIF÷CIL DE DEFINIR, SINO PORQUE ESTAMOS CONVENCIDOS DE QUE EXPLICAR SU CONTENIDO ESTROPEAR÷A LA EXPERIENCIA DE LA LECTURA. CREEMOS QUE ES IMPORTANTE EMPEZAR ESTA NOVELA SIN SABER DE QUê TRATA. NO OBSTANTE, SI DECIDES EMBARCARTE EN LA AVENTURA, DEBES SABER QUE ACOMPA•ARµS A BRUNO, UN NI•O DE NUEVE A•OS, CUANDO SE MUDA CON SU FAMILIA A UNA CASA JUNTO A UNA CERCA. CERCAS COMO êSA EXISTEN EN MUCHOS SITIOS DEL MUNDO, S‡LO DESEAMOS QUE NO TE ENCUENTRES NUNCA CON UNA. POR ÈLTIMO, CABE ACLARAR QUE ESTE LIBRO NO ES S‡LO PARA ADULTOS; TAMBIêN LO PUEDEN LEER, Y SER÷A RECOMENDABLE QUE LO HICIERAN, NI•OS A PARTIR DE LOS TRECE A•OS DE EDAD. EL EDITOR."
9.78607E+12,Insurgente 2,Veronica Roth,OCEANO TRAVESIA,2013,Ciencia Ficci¢n,"Una sola elecci¢n puede transformarte. . . O destruirte. Sin embargo, toda elecci¢n tiene sus consecuencias, as° que, cuando los disturbios se extienden por las facciones que forman su sociedad, tris prior, protagonista de esta novela, debe seguir intentando salvar a sus seres queridos (y a si? Misma), mientras se enfrenta a inquietantes dilemas sobre la pena y el perd¢n, la identidad y la lealtad, la pol°tica y el amor. A su alrededor, el conflicto entre las facciones y sus distintas ideolog°as se intensifica y la guerra acecha en el horizonte. El peligro en tiempos de guerra es que se debe escoger un bando, desvelar secretos. . . Y las consecuencias de cada elecci¢n se convierten en algo a£n m†s irrevocable y poderoso. Insurgente es la esperada segunda parte de la saga dist¢pica divergente, de la exitosa autora Ver¢nica Roth, quien nos entrega otra trepidante historia llena de giros inesperados, desenga§os, amor y profundas reflexiones sobre la naturaleza humana."
9.78607E+12,Las ventajas de ser invisible,Stephen Chbosky,ALFAGUARA JUVENIL,2012,Ciencia Ficci¢n,"Charlie es un chico realmente especial: lee much°simo, no sale con chicos ni con chicas y reflexiona sobre el mundo desde un punto de vista muy particular. Su ingenuidad, su incapacidad para relacionarse normalmente y su extrema sinceridad le crean m†s de un problema, especialmente ahora que su £nico amigo ha muerto. Conocer a Sam y Patrick, los chicos m†s populares y vitales del colegio, provocara un giro radical en su vida que lo sumergir† de pleno en la adolescencia."
9.78607E+12,LA VERDAD SOBRE EL CASO HARRY QUEBERT,Joel Dicker,ALFAGUARA ,2013,Literatura Universal,"QuiÇn mat¢ a Nola Kellergan es la gran inc¢gnita a develar en este thriller incomparable cuya experiencia de lectura escapa a cualquier tentativa de descripci¢n. IntentÇmoslo: una gran novela policiaca y rom†ntica a tres tiempos -1975, 1998 y 2008- acerca del asesinato de una joven de quince a§os en la peque§a ciudad de Aurora, en New Hampshire. En 2008, Marcus Goldman, un joven escritor, visita a su mentor -Harry Quebert, autor de una aclamada novela-, y descubre que Çste tuvo una relaci¢n secreta con Nola Kellergan.Poco despuÇs, Harry es arrestado, acusado de asesinato, al encontrarse el cad†ver de Nola enterrado en su jard°n. Marcus comienza a investigar y a escribir un libro sobre el caso. Mientras intenta demostrar la inocencia de Harry, una trama de secretos sale a la luz. La verdad s¢lo llega al final de un largo, intrincado y apasionante recorrido."
9685208557,Pedro Paramo,Juan Rulfo,EDITORIAL RM ,2005,Literatura Mexicana,"La obra de Juan Rulfo (1917ñ1986) es sin duda la creaci¢n literaria mexicana que ha recibido mayor reconocimiento dentro y fuera de su pa°s. La novela Pedro P†ramo tuvo una larga gestaci¢n. Rulfo la menciona por primera vez en una carta de 1947, y puede trabajar en ella hasta terminarla entre 1953 y 1954, gracias a una beca del Centro Mexicano de Escritores. En 1954 publica adelantos de la misma en tres revistas y en 1955 aparece como libro. Entre los admiradores de esta obra maestra, habiendo escrito tambiÇn sobre ella, figuran Gabriel Garc°a M†rquez, Jorge Luis Borges y Susan Sontag. Pedro P†ramo recoge lo m†s profundo de MÇxico y las formas y tÇcnicas literarias m†s avanzadas de su siglo. Pocas obras tocan al lector mexicano como Çsta, considerada tambiÇn un cl†sico de la literatura universal."
9.78607E+12,UN CHEF PARA TODO EL A•O,Gordon Ramsay,PLANETA,2009,Gastronom°a,MAS DE 100 RECETAS SORPRENDENTEMENTE SENCILLAS Y COMPLETAMENTE ACCESIBLES PARA EL QUE COCINA EN CASA. PLATILLOS CONTEMPORµNEOS Y LIGEROS PARA EL PALADAR ACTUAL. IDEAS INNOVADORAS Y CONSEJOS CULINARIOS DE UNO DE LOS COCINEROS BRITµNICOS MAS FASCINANTES. ESPLENDIDAS FOTOGRAF÷AS EN TODO EL LIBRO.
9.78607E+12,CAZADORES DE SOMBRAS. VOL. 02: CIUDAD DE CENIZA,Cassandra Clare,EDICIONES DESTINO,2009,Literatura fant†stica,"Clary Fray desear°a que su vida volviera a la normalidad. Si pudiera dejar atr†s el mundo de los cazadores de sombras, tendr°a m†s tiempo para Sim¢n, su mejor amigo, que se est† convirtiendo en algo m†s... Pero el mundo subterr†neo que acaba de descubrir no esta preparado para dejarla ir; en especial ese apuesto y exasperante Jace para complicar las cosas, una ola de asesinatos sacude la ciudad. Clary cree que Valentine esta detr†s de esas muertes, pero ®como podr°a detenerlo si Jace parece dispuesto a traicionar todo en lo que cree para ayudar a su padre? En esta soberbia secuela de ciudad de hueso, Casandra Clare arrastra de nuevo a sus lectores a las siniestras garras del submundo de nueva york, donde el amor jam†s est† a salvo y el poder se convierte en la tentaci¢n m†s letal."
9.78607E+12,CINCUENTA SOMBRAS DE GREY,E. L. James,GRIJALBO MONDADORI,2012,Literatura er¢tica,"La rom†ntica, sensual, er¢tica y totalmente adictiva historia de la apasionada relaci¢n entre una estudiante universitaria y un joven multimillonario Cuando la estudiante de Literatura Anastasia Steele recibe el encargo de entrevistar al exitoso y joven empresario Christian Grey, queda impresionada al encontrarse ante un hombre atractivo, seductor y tambiÇn muy intimidante. La inexperta e inocente Ana intenta olvidarle, pero pronto comprende cu†nto le desea. Cuando la pareja por fin inicia una apasionada relaci¢n, Ana se sorprende por las peculiares pr†cticas er¢ticas de Grey, al tiempo que descubre los l°mites de sus propios y m†s oscuros deseos..."
9.78607E+12,CIEN A•OS DE SOLEDAD,Gabriel Garcia Marquez,DIANA,2010,Literatura Universal,"Muchos a§os despuÇs, frente al pelot¢n de fusilamiento, el coronel Aureliano Buend°a hab°a de recordar aquella tarde remota en que su padre lo llevo a conocer el hielo. Macondo era entonces una aldea de veinte casas de barro y Ca§abrava construidas a la orilla de un rio de aguas di†fanas que se precipitaban por un lecho de piedras pulidas, blancas y enormes como huevos prehist¢ricos. El mundo era tan reciente, que muchas cosas carec°an de nombre, y para mencionarlas hab°a que se§alarlas con el dedo. Mito por derecho propio, saludada por sus lectores como la obra en espa§ol m†s importante despuÇs de la biblia, cien a§os de soledad cuenta la saga de la familia Buend°a y su maldici¢n, que castiga el matrimonio entre parientes d†ndoles hijos con cola de cerdo. Como un rio desbordante, a lo largo de un siglo se entretejer†n sus destinos por medio de sucesos maravillosos en el fant†stico pueblo de macondo, en una narraci¢n que es la cumbre indiscutible del realismo m†gico y la literatura del boom. Alegor°a universal, es tambiÇn una visi¢n de LatinoamÇrica y una par†bola sobre la historia humana."
9.78607E+12,DOCTOR SUE•O,Stephen King,PLAZAˇ& JANES EDITORES,2013,Terror y suspenso,"Stephen King vuelve a los personajes y al territorio de una de sus novelas m†s emblem†ticas, el resplandor. Danny Torrance ahora es un adulto, y su particular destino le llevar† a salvar a una ni§a de 12 a§os (que tambiÇn posee un don especial) de una tribu de gente asesina y con poderes ps°quicos. Stephen King vuelve al mundo de, El resplandor, una de sus novelas m†s queridas y emblem†ticas. Ahora Danny Torrance, aquel ni§o aterrorizado del hotel Overlook, es un adulto alcoh¢lico y sin residencia fija que va de ciudad en ciudad atormentado por sus visiones y por los fantasmas de su infancia, que ha aprendido a controlar pero no a eliminar de su mente. Un d°a se siente atra°do por una ciudad de New Hampshire, donde encontrar† trabajo en una residencia de ancianos y donde se apuntar† a las reuniones de alcoh¢licos an¢nimos. En ese lugar le llega la visi¢n de abra Stone, una ni§a que necesita su ayuda. La persigue una tribu de seres paranormales que vive del resplandor de los ni§os especiales. Parecen personas mayores y totalmente normales que viajan por el pa°s en sus autocaravanas, pero su misi¢n es capturar, torturar y consumir a estos ni§os. Se alimentan de ellos para vivir y el resplandor de abra tiene tanta fuerza que les podr°a mantener vivos durante mucho tiempo. Danny sabe que sin su ayuda abra nunca conseguir°a escaparse de ellos; juntos emprender†n una lucha Çpica, una batalla sangrienta entre el bien y el mal, para intentar salvarla a ella y a los dem†s ni§os que sacrifican. Una novela que entusiasmar† a los millones de lectores de, El resplandor y que encantar† a todos los que conozcan a Danny Torrance por primera vez. Una novela ic¢nica en la obra de Stephen King."
